Timestep	MeanReward100Episodes	BestMeanReward	Episodes	Exploration	LearningRate	RunningTime
1410000	29.65	30.6	833	0.09297142857142858	9.84e-05	3.456367015838623
1420000	30.04	30.6	839	0.09280000000000001	9.83e-05	3.7547258019447325
1430000	29.76	30.6	845	0.09262857142857144	9.82e-05	4.108595629533132
1440000	30.32	30.6	852	0.09245714285714286	9.81e-05	3.906433578332265
1450000	30.1	30.6	859	0.09228571428571429	9.800000000000001e-05	3.6703709920247394
1460000	31.69	31.69	865	0.09211428571428572	9.790000000000001e-05	4.157252546151479
1470000	33.12	33.12	872	0.09194285714285715	9.78e-05	3.9525811354319256
1480000	33.63	34.04	878	0.09177142857142857	9.77e-05	4.059919925530751
1490000	33.89	34.04	885	0.0916	9.76e-05	4.533063026269277
1500000	33.15	34.04	891	0.09142857142857143	9.75e-05	4.409924348195394
1510000	33.4	34.04	898	0.09125714285714286	9.740000000000001e-05	4.747579542795817
1520000	34.49	34.6	906	0.0910857142857143	9.730000000000001e-05	4.227044101556142
1530000	34.38	34.74	913	0.09091428571428573	9.72e-05	4.0172986626625065
1540000	36.31	36.31	921	0.09074285714285715	9.71e-05	3.492043463389079
1550000	38.43	38.43	928	0.09057142857142858	9.7e-05	4.028409250577291
1560000	38.7	38.82	935	0.09040000000000001	9.690000000000001e-05	3.39026228984197
1570000	39.57	39.57	943	0.09022857142857144	9.680000000000001e-05	3.871576241652171
