Timestep	MeanReward100Episodes	BestMeanReward	Episodes	Exploration	LearningRate	RunningTime
1250000	22.09	22.67	5679	0.09571428571428572	0.0001	3.227377537886302
1260000	22.62	22.67	5691	0.09554285714285715	9.99e-05	3.1908469915390016
1270000	23.28	23.63	5703	0.09537142857142858	9.98e-05	3.332772656281789
1280000	24.62	24.72	5714	0.0952	9.970000000000001e-05	3.2721310178438823
1290000	25.14	25.37	5726	0.09502857142857143	9.960000000000001e-05	3.263498592376709
1300000	26.29	26.37	5738	0.09485714285714286	9.95e-05	3.2177865862846375
1310000	27.95	27.95	5748	0.09468571428571429	9.94e-05	3.248802963892619
1320000	28.68	28.71	5759	0.09451428571428572	9.93e-05	3.1941704432169598
1330000	29.42	29.42	5769	0.09434285714285714	9.92e-05	3.217597790559133
1340000	30.79	30.79	5780	0.09417142857142857	9.910000000000001e-05	3.184937270482381
